,NonStopwordsQuoteText,Topic,Topic_Prob,TopicWords,Batch
6140,תקציב ההשקעה בפיתוח תשתיות הכלכלה עומד 183292 מיליון שקלים בדיקת נתוני התקצוב מעלה 76 1001 סכום 55 מיליון שקלים בהתבסס יעדים לביצוע החלטות שונות בישובים הערביים 1539 4139 1052 1295 החלטות אמורות מיושמות שנת בוצעו בתקציב המאושר זכר להחלטה 922,כלכלי,0.962751,"('0.024*""שקלים"" + 0.022*""מיליון"" + 0.020*""האוצר"" + 0.019*""תקציב"" + 0.012*""שקל"" + 0.008*""ממשרד"" + 0.008*""אגף"" + 0.008*""התקציב"" + 0.008*""הכסף"" + 0.008*""מיליארד""',)",2
770,מלמד זכות ומספיק שאדם הרב עובדיה שסיפרו שחקני כדורגל שנאלצים לשחק בשבת חלקם עברו לשחק שישי שינוי זכור השבת שמור השבת שמרו השבת השבת,ניצולי שואה,0.9611133,"('0.008*""האוצר"" + 0.005*""החלטה"" + 0.005*""לקיים"" + 0.005*""השואה"" + 0.005*""שרים"" + 0.004*""בסופו"" + 0.004*""ניצולי"" + 0.004*""הדברים"" + 0.003*""העניין"" + 0.003*""שואה""',)",2
955,הדוברים שחר פיירמן נותן קומפלימנט שאף אבא במיון אבא במיון 50 ימים ולילות שבועות וחודשים מחמישים חמישים כשאני שחר אבא ידע משפחה שחר,בריאות,0.95940685,"('0.016*""החולים"" + 0.013*""הבריאות"" + 0.010*""חולים"" + 0.008*""בתי"" + 0.007*""הילד"" + 0.006*""נוער"" + 0.004*""הטיפול"" + 0.004*""לזכויות"" + 0.004*""בבתי"" + 0.003*""הדרכים""',)",2
1126,תראו סוגיה כאובה והיא טעונה זכיתי החולים שניידר יחד המדהימים ימים מסוג אותן סיטואציות יושבת הראש מסתכלת העניין אומרת לעצמך שהדבר קורה המציאות,בריאות,0.95935184,"('0.016*""החולים"" + 0.013*""הבריאות"" + 0.010*""חולים"" + 0.008*""בתי"" + 0.007*""הילד"" + 0.006*""נוער"" + 0.004*""הטיפול"" + 0.004*""לזכויות"" + 0.004*""בבתי"" + 0.003*""הדרכים""',)",2
5096,פותחים קצר עוולות מסחריות סעדים וסדרי דין התשפא-2020; ותקנות הפטנטים נוהלי הרשות סדרי דין מסמכים ואגרות התשפב-2022 עוסקים בהתאמת ההליכים על-פי העוולות המסחריות והשני על-פי הפטנטים לסדרי הדין האזרחיים כיוון שמדובר בתקנות המשפטים מציע שעוד נועה מושייף נציגת המשפטים שנמצאת אתנו בזום תסביר תציג התקנות הערות היועצת המשפטית וניגש להצבעה,קורונה,0.9591811,"('0.021*""התקנות"" + 0.020*""הקורונה"" + 0.012*""הוראת"" + 0.011*""נגיף"" + 0.010*""סמכויות"" + 0.008*""להתמודדות"" + 0.008*""מיוחדות"" + 0.007*""בתקנות"" + 0.006*""פעילות"" + 0.005*""הגבלת""',)",2
2510,פרק כולו אנרגיה התכנית הכלכלית חקיקה ליישום המדיניות הכלכלית התקציב ו-2018 התשעז-2016 סעיפים 7 ו-10 שעניינם הגברת התחרות במשק הגפמ מציג הדברים,כלכלי,0.95773625,"('0.017*""הכלכלית"" + 0.014*""התקציב"" + 0.012*""התכנית"" + 0.010*""חקיקה"" + 0.010*""פרק"" + 0.007*""המדיניות"" + 0.007*""ההסדרים"" + 0.006*""ליישום"" + 0.005*""העוני"" + 0.005*""הלאומי""',)",2
17025,סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות 4 התשף-2020 והצעת סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות 4 התשף-2020,קורונה,0.9558428,"('0.021*""התקנות"" + 0.020*""הקורונה"" + 0.012*""הוראת"" + 0.011*""נגיף"" + 0.010*""סמכויות"" + 0.008*""להתמודדות"" + 0.008*""מיוחדות"" + 0.007*""בתקנות"" + 0.006*""פעילות"" + 0.005*""הגבלת""',)",2
1293,המשך היושב בזמנו פניתי אליך בסוגיה מסתבר העבודה כחלון מנסה להוריד יוקר המחיה יוקר מחירי הדיור יגייסו לרשימה אלך אשאר בליכוד,ניצולי שואה,0.9557242,"('0.008*""האוצר"" + 0.005*""החלטה"" + 0.005*""לקיים"" + 0.005*""השואה"" + 0.005*""שרים"" + 0.004*""בסופו"" + 0.004*""ניצולי"" + 0.004*""הדברים"" + 0.003*""העניין"" + 0.003*""שואה""',)",2
4600,תכננתי כשהכנתי עצמי מנטלית להיום בסיכום עין במר בוכה ולב לוקח מושאל מאיפה עין במר בוכה ולב מאיפה עקידת יצחק,נשים,0.95348,"('0.017*""מעמד"" + 0.017*""לקידום"" + 0.017*""האישה"" + 0.010*""מגדרי"" + 0.009*""שירותים"" + 0.008*""פותחת"" + 0.008*""ולשוויון"" + 0.007*""הנוסח"" + 0.007*""נוסח"" + 0.007*""שינויים""',)",2
6007,עלה למודעות בעקבות פרשה וחמורה וסדרתית יזם נדלן איש חיי לילה בשם אלון קסטיאל חייבת לקחה בשיח הציבורי ובתקשורת כיוון התפלאתי חשבתי כיוון וחשבתי חייבת בתור חברה בשיח הציבורי והתקשורתי היינו צריכים להתבגר והצטערתי הנזקים והמתירנות וכו חיי הלילה,בריאות,0.9528378,"('0.016*""החולים"" + 0.013*""הבריאות"" + 0.010*""חולים"" + 0.008*""בתי"" + 0.007*""הילד"" + 0.006*""נוער"" + 0.004*""הטיפול"" + 0.004*""לזכויות"" + 0.004*""בבתי"" + 0.003*""הדרכים""',)",2
5528,ולעניין המספור הסעיפים לקראת הסוף היות הוספנו סעיפים אקריא הסעיף המהותי שתהיה רציפות בנוסח זהו לעבור להצבעה ההסתייגויות ולהצבעות,נשים,0.9513082,"('0.017*""מעמד"" + 0.017*""לקידום"" + 0.017*""האישה"" + 0.010*""מגדרי"" + 0.009*""שירותים"" + 0.008*""פותחת"" + 0.008*""ולשוויון"" + 0.007*""הנוסח"" + 0.007*""נוסח"" + 0.007*""שינויים""',)",2
2506,ברשותכם לקבוע כללי הכלכלה בוודאי בנושאים בסדר-גודל מהמשרדים הרלוונטיים להניח המסד אומרת לשים הרגליים שעליהם מונחת שמונחת בפנינו,ניצולי שואה,0.94862664,"('0.008*""האוצר"" + 0.005*""החלטה"" + 0.005*""לקיים"" + 0.005*""השואה"" + 0.005*""שרים"" + 0.004*""בסופו"" + 0.004*""ניצולי"" + 0.004*""הדברים"" + 0.003*""העניין"" + 0.003*""שואה""',)",2
20120,פותחת ברשותכם צו לתיקון ולקיום תוקפן שעת חירום נגיף הקורונה הגבלת פעילות שינוי התוספת לחוק 2 התשף-2020,קורונה,0.94602764,"('0.021*""התקנות"" + 0.020*""הקורונה"" + 0.012*""הוראת"" + 0.011*""נגיף"" + 0.010*""סמכויות"" + 0.008*""להתמודדות"" + 0.008*""מיוחדות"" + 0.007*""בתקנות"" + 0.006*""פעילות"" + 0.005*""הגבלת""',)",2
8840,פותחת ברשותכם צו לתיקון ולקיום תוקפן שעת חירום נגיף הקורונה הגבלת פעילות שינוי התוספת לחוק 3 התשף-2020,קורונה,0.94602764,"('0.021*""התקנות"" + 0.020*""הקורונה"" + 0.012*""הוראת"" + 0.011*""נגיף"" + 0.010*""סמכויות"" + 0.008*""להתמודדות"" + 0.008*""מיוחדות"" + 0.007*""בתקנות"" + 0.006*""פעילות"" + 0.005*""הגבלת""',)",2
3370,צוהריים פותחים צו לתיקון ולקיום תוקפן שעת חירום נגיף הקורונה הגבלת פעילות שינוי התוספת לחוק 3 התשף–2020,קורונה,0.94602543,"('0.021*""התקנות"" + 0.020*""הקורונה"" + 0.012*""הוראת"" + 0.011*""נגיף"" + 0.010*""סמכויות"" + 0.008*""להתמודדות"" + 0.008*""מיוחדות"" + 0.007*""בתקנות"" + 0.006*""פעילות"" + 0.005*""הגבלת""',)",2
4291,החינוך התרבות והספורט ה-7 בנובמבר בחשוון תשעז הצגת תכנית החומש המלג לציון פתיחת שנת הלימודים האקדמית תשעז,חינוך,0.9460226,"('0.091*""החינוך"" + 0.024*""התרבות"" + 0.022*""והספורט"" + 0.017*""חינוך"" + 0.012*""הלימודים"" + 0.012*""הספר"" + 0.011*""שנת"" + 0.010*""במערכת"" + 0.008*""מערכת"" + 0.007*""תלמידים""',)",2
3895,הסתובבתי טלכרד טלכרדים זוכר טלפון טלכרד כרטיסים שומר הטלכרד ההמנון השם ואיפה נכתב הגענו לשפל ושיא מבינים שהעובדה שאנשים חלילה מלמד עוזר ובמציאות שבה הפרט בורח בוחר לברוח מהקשר למדינה שבה חי לעיתים צעדים להסביר,ניצולי שואה,0.9443265,"('0.008*""האוצר"" + 0.005*""החלטה"" + 0.005*""לקיים"" + 0.005*""השואה"" + 0.005*""שרים"" + 0.004*""בסופו"" + 0.004*""ניצולי"" + 0.004*""הדברים"" + 0.003*""העניין"" + 0.003*""שואה""',)",2
22891,נושאים נתחיל בהכרזת סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת בידוד שנכנס לישראל בנסיבות מיוחדות 4 2 מציג,קורונה,0.94285405,"('0.021*""התקנות"" + 0.020*""הקורונה"" + 0.012*""הוראת"" + 0.011*""נגיף"" + 0.010*""סמכויות"" + 0.008*""להתמודדות"" + 0.008*""מיוחדות"" + 0.007*""בתקנות"" + 0.006*""פעילות"" + 0.005*""הגבלת""',)",2
10497,פותחים החוקה ומשפט סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות והוראות נוספות 13 התשפא-2020,קורונה,0.9392827,"('0.021*""התקנות"" + 0.020*""הקורונה"" + 0.012*""הוראת"" + 0.011*""נגיף"" + 0.010*""סמכויות"" + 0.008*""להתמודדות"" + 0.008*""מיוחדות"" + 0.007*""בתקנות"" + 0.006*""פעילות"" + 0.005*""הגבלת""',)",2
13589,צו לתיקון ולקיום תוקפן שעת חירום נגיף הקורונה הגבלת פעילות שינוי התוספת לחוק 3 התשף-2020,קורונה,0.9392816,"('0.021*""התקנות"" + 0.020*""הקורונה"" + 0.012*""הוראת"" + 0.011*""נגיף"" + 0.010*""סמכויות"" + 0.008*""להתמודדות"" + 0.008*""מיוחדות"" + 0.007*""בתקנות"" + 0.006*""פעילות"" + 0.005*""הגבלת""',)",2
17887,פרק כולו עבודות פיתוח בתכנית למגורים התכנית הכלכלית חקיקה ליישום המדיניות הכלכלית לשנת התקציב התשעח-2018,כלכלי,0.93927944,"('0.017*""הכלכלית"" + 0.014*""התקציב"" + 0.012*""התכנית"" + 0.010*""חקיקה"" + 0.010*""פרק"" + 0.007*""המדיניות"" + 0.007*""ההסדרים"" + 0.006*""ליישום"" + 0.005*""העוני"" + 0.005*""הלאומי""',)",2
9849,פותחת המיוחדת נגיף הקורונה חידוש הדיונים להארכת תוקפן שעת חירום נגיף הקורונה הגבלת פעילות התשף-2020,קורונה,0.9392731,"('0.021*""התקנות"" + 0.020*""הקורונה"" + 0.012*""הוראת"" + 0.011*""נגיף"" + 0.010*""סמכויות"" + 0.008*""להתמודדות"" + 0.008*""מיוחדות"" + 0.007*""בתקנות"" + 0.006*""פעילות"" + 0.005*""הגבלת""',)",2
3744,עתירה לבית המשפט העליון ובית המשפט העליון הדרך העקומה פסק הדין בטוחה מכירים להעביר בחוזר מנכל בשנייה האחרונה צורה פונה למשרד החינוך ומבקשת נחזור מנטרה אישור אישור תביאו חקיקה מסודרת שתוכל לסייע להורים באפשרותם לשלם תשלומים; אמצעי גבייה הגיוניים ונורמליים להסדיר מסודרת בחוזר מנכל משתנה כשכל מחכים ולוחצים להעביר להעביר,ניצולי שואה,0.9391992,"('0.008*""האוצר"" + 0.005*""החלטה"" + 0.005*""לקיים"" + 0.005*""השואה"" + 0.005*""שרים"" + 0.004*""בסופו"" + 0.004*""ניצולי"" + 0.004*""הדברים"" + 0.003*""העניין"" + 0.003*""שואה""',)",2
5835,שקורה כיום ותכף לחברה מהביטוח הלאומי שאדם שמקבל הבטחת הכנסה ורוצה להירשם ללימודים לתואר ברגע נרשם ללימודים לוקחים הבטחת ההכנסה שמישהו שמקבל הבטחת הכנסה לעצמו אלך ללמוד ברגע לומד לומדת לוקחים הכסף,כלכלי,0.93882465,"('0.017*""הכלכלית"" + 0.014*""התקציב"" + 0.012*""התכנית"" + 0.010*""חקיקה"" + 0.010*""פרק"" + 0.007*""המדיניות"" + 0.007*""ההסדרים"" + 0.006*""ליישום"" + 0.005*""העוני"" + 0.005*""הלאומי""',)",2
7049,עדות נוספת עדות מצולמת חיה שנעשו ניסויים באתר עמותת עמרם בשתי אחיות חנה ומזל חדד שעלו מתימן ב-1949 בעדות מספרות האחיות שמיד נחיתת המטוס הופרדו מההורים ונלקחו לבית-החולים ביפו לטענתן להן איזושהי אלרגיה בעיניים כתוצאה מהחול שעף לכיוונן בזמן עלו למטוס בבית-החולים הזריקו להן לקרנית חומר שגרם להן לעיוורון חלקי האב חיפש אותן ידע וכשהוא מצא אותן בבית-החולים הבריח אותן משם וכך נגמרה מסכת הייסורים הראייה שלהן הולכת ומידרדרת,קורונה,0.9374817,"('0.021*""התקנות"" + 0.020*""הקורונה"" + 0.012*""הוראת"" + 0.011*""נגיף"" + 0.010*""סמכויות"" + 0.008*""להתמודדות"" + 0.008*""מיוחדות"" + 0.007*""בתקנות"" + 0.006*""פעילות"" + 0.005*""הגבלת""',)",2
11569,רב החוקה ומשפט ארבעה נושאים הכרזת סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת בידוד שנכנס לישראל בנסיבות מיוחדותתיקון 5; סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות במקומות עבודהתיקון 7; סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הידוק הגבלותתיקון 4; סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת שעההידוק הגבלותתיקון 2 התשפא-2021,קורונה,0.93543965,"('0.021*""התקנות"" + 0.020*""הקורונה"" + 0.012*""הוראת"" + 0.011*""נגיף"" + 0.010*""סמכויות"" + 0.008*""להתמודדות"" + 0.008*""מיוחדות"" + 0.007*""בתקנות"" + 0.006*""פעילות"" + 0.005*""הגבלת""',)",2
3605,נוכל להתקדם התפיסה הכוללת הכלכלה שנהיה מתכנון אזורי תכנון אזורי אזור תעשייה אזורי קח הצפון כברי שהולך לקום במעלה יוסף עשו החורפיש אזור תעשייה תפן אזור תעשייה במעלות אזור תעשייה דלתון אזור תעשייה שתיכף ידברו ברמת הגולן יישובי רמת הגולן חייבים מהניהול מהבנייה מהשמת כוח האדם וחלק מגביית הארנונה נדבך כלכלי לישובים,בריאות,0.9352736,"('0.016*""החולים"" + 0.013*""הבריאות"" + 0.010*""חולים"" + 0.008*""בתי"" + 0.007*""הילד"" + 0.006*""נוער"" + 0.004*""הטיפול"" + 0.004*""לזכויות"" + 0.004*""בבתי"" + 0.003*""הדרכים""',)",2
7361,בזאת החוקה סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות והוראות נוספות 14 התשפא-2020,קורונה,0.93523353,"('0.021*""התקנות"" + 0.020*""הקורונה"" + 0.012*""הוראת"" + 0.011*""נגיף"" + 0.010*""סמכויות"" + 0.008*""להתמודדות"" + 0.008*""מיוחדות"" + 0.007*""בתקנות"" + 0.006*""פעילות"" + 0.005*""הגבלת""',)",2
2161,שמחה הפיקוח שירותים פיננסיים שירותים פיננסיים מוסדרים 4 הפעלת מערכת לתיווך באשראי התשעז–2017 מ/1127,נשים,0.9352174,"('0.017*""מעמד"" + 0.017*""לקידום"" + 0.017*""האישה"" + 0.010*""מגדרי"" + 0.009*""שירותים"" + 0.008*""פותחת"" + 0.008*""ולשוויון"" + 0.007*""הנוסח"" + 0.007*""נוסח"" + 0.007*""שינויים""',)",2
3176,הבעיות חמש חמש חושש שאחד מחברי מכחול-לבן ייכנס אזהה כחול-לבן מכיר אעשה אפסיד שישה,בריאות,0.9346236,"('0.016*""החולים"" + 0.013*""הבריאות"" + 0.010*""חולים"" + 0.008*""בתי"" + 0.007*""הילד"" + 0.006*""נוער"" + 0.004*""הטיפול"" + 0.004*""לזכויות"" + 0.004*""בבתי"" + 0.003*""הדרכים""',)",2
7648,הכלכלה סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלות הפעלת שדות תעופה וטיסות 7 התשפא-2002,קורונה,0.9306078,"('0.021*""התקנות"" + 0.020*""הקורונה"" + 0.012*""הוראת"" + 0.011*""נגיף"" + 0.010*""סמכויות"" + 0.008*""להתמודדות"" + 0.008*""מיוחדות"" + 0.007*""בתקנות"" + 0.006*""פעילות"" + 0.005*""הגבלת""',)",2
16122,פרק ז כולו וביוב התוכנית הכלכלית חקיקה ליישום המדיניות הכלכלית התקציב ו-2018 התשעז-2016,כלכלי,0.93060315,"('0.017*""הכלכלית"" + 0.014*""התקציב"" + 0.012*""התכנית"" + 0.010*""חקיקה"" + 0.010*""פרק"" + 0.007*""המדיניות"" + 0.007*""ההסדרים"" + 0.006*""ליישום"" + 0.005*""העוני"" + 0.005*""הלאומי""',)",2
20884,לכולכם פותחת ייעול מערך הכשרות התכנית הכלכלית חקיקה ליישום המדיניות הכלכלית התקציב ו-2022,כלכלי,0.93059725,"('0.017*""הכלכלית"" + 0.014*""התקציב"" + 0.012*""התכנית"" + 0.010*""חקיקה"" + 0.010*""פרק"" + 0.007*""המדיניות"" + 0.007*""ההסדרים"" + 0.006*""ליישום"" + 0.005*""העוני"" + 0.005*""הלאומי""',)",2
19347,הפיקוח שירותים פיננסיים שירותים פיננסיים מוסדרים 4 הפעלת מערכת לתיווך באשראי התשעז-2017 מ/1127,נשים,0.9305914,"('0.017*""מעמד"" + 0.017*""לקידום"" + 0.017*""האישה"" + 0.010*""מגדרי"" + 0.009*""שירותים"" + 0.008*""פותחת"" + 0.008*""ולשוויון"" + 0.007*""הנוסח"" + 0.007*""נוסח"" + 0.007*""שינויים""',)",2
9858,נשנה למועדי הדתות לאותו חייב משנה איזו עדה לאכול ללבוש לבוא ולעקל מטרת,ניצולי שואה,0.93043417,"('0.008*""האוצר"" + 0.005*""החלטה"" + 0.005*""לקיים"" + 0.005*""השואה"" + 0.005*""שרים"" + 0.004*""בסופו"" + 0.004*""ניצולי"" + 0.004*""הדברים"" + 0.003*""העניין"" + 0.003*""שואה""',)",2
19775,פותחים פרק אנרגיה התכנית הכלכלית חקיקה ליישום המדיניות הכלכלית התקציב ו-2018 התשעז-2016,כלכלי,0.9252714,"('0.017*""הכלכלית"" + 0.014*""התקציב"" + 0.012*""התכנית"" + 0.010*""חקיקה"" + 0.010*""פרק"" + 0.007*""המדיניות"" + 0.007*""ההסדרים"" + 0.006*""ליישום"" + 0.005*""העוני"" + 0.005*""הלאומי""',)",2
24534,מילים לפתיחת רב וחשוב הדברים נימוסים רוזנטל לשים הנקודות בתחילת שנהיה ממוקדים ויעילים,ניצולי שואה,0.925262,"('0.008*""האוצר"" + 0.005*""החלטה"" + 0.005*""לקיים"" + 0.005*""השואה"" + 0.005*""שרים"" + 0.004*""בסופו"" + 0.004*""ניצולי"" + 0.004*""הדברים"" + 0.003*""העניין"" + 0.003*""שואה""',)",2
