QuoteText,OriginalTopic,Topic,Topic_Prob,,,,,,,
"אנחנו מדברים על תיקון הכרזה על חלק משמורת טבע הר מירון, שגודלה כ-100,000 דונם לפי תכנית ג/20099 של בית ג'אן שהיא תכנית כוללת של הישוב, שהיעד שלה הוא עד 2040. מדובר פה על גריעה של 1,414 דונם מסך השמורה, כ-1,400 מתוך 100,000 בערך. מדובר על מספר מתחמים שאפשר לראות אותם בתכנית הזאת.",בטחון,בלי,0.96378833,,,,,,,
"אנחנו עוסקים פה בצורה פרטנית וממוקדת באמת בנושא נחל אלכסנדר. לאנשים בגילי נחל אלכסנדר זה עוד מקום שהייתי בא עם ההורים שלי למקום יפה כזה עם דגים וכייף ומשחקים על גדות הנחל, וצבים ודברים יפהפיים. אנחנו יודעים שבמעלה הדרך קרו לו הרבה דברים לא טובים וגם דברים כן טובים, כן טיפולים כאלה ואחרים. זה ברמה הפרטנית.",בטחון,אנרגיה,0.9637764,,,,,,,
"חוק חשוב שישפר את חייהם של ילדות וילדים, הורות והורים, ואני מאמינה באמונה שלמה של גם מעסיקות ומעסיקים לחלק בין כולם את הנטל שהוא נטל של ימי מחלת ילדה או ילד. נאחל בריאות לכולם ולכולן ואריכות ימים. קדימה – בואו נעביר את זה. ",בטחון,רווחה,0.96092045,,,,,,,
"הצפת הנושא הזה גרמה לכך שבניינים רבים החלו להיבדק, חלק ביוזמת רשויות, חלק ביוזמת התושבים עצמם, וזה יצר בעיה חדשה, שבה לא ברור מי אחראי לבניין שיכול להיות בן 50 שנה, 60 שנה, 70 שנה, שעומד לקרוס. ",בטחון,בלי,0.95928663,,,,,,,
"לכן אני יזמתי את הדיון הזה. אני רוצה לשמוע על המדיניות של מינהל מקרקעי ישראל. אם לפי מדיניות מינהל מקרקעי ישראל יש אפשרות לעצור את המכרזים בכפר ורדים, למה אין את האפשרות להגביל ולאפשר לחיילים משוחררים לקבל בחואלד, לאפשר לאותם חיילים משוחררים לקבל בשפרעם, לאפשר לראש רשות בחורפיש, שיודע שלאנשים מסוימים שזכו במכרז יש בית והם גרים בתוך הבית שלהם? יש להם הכול והוא לא יכול לבוא ולהגיד: תשמעו, הבחור הזה, משפחה שכולה, חייל משוחרר, אין לו בית, הוא מחוסר דיור והשני יש לו בית והוא גר בתוך הבית שלו. ",בטחון,דיור,0.95796925,,,,,,,
"יש לנו כאן למעשה דיון מרתק בין מצב של  הלכה למנהג. פשטות החוק, יכול להיות שהיא אומרת שמי שצריך למנות את הנשיא זה הוועדה לבחירות שופטים, אבל המנהג, מאז היווסדו כמעט, הוא שהסניוריטי, הוותק, הוא שקובע. הלכה ומנהג – מה גובר ואיך - - -",בטחון,בלי,0.9575562,,,,,,,
"אני חייב לומר משפט מקדים לדיון שלנו. אני חושב שאם פעם ילמדו במקום כלשהו או מישהו ירצה לעשות עבודה על גלגולו של חוק, הוא יכול לקחת את החוק הזה כדוגמה לגלגול עצוב של חוק, לדיונים אין ספור מיותרים לגמרי, לבלמים שמשרדי הממשלה עצמם מציבים להצעת חוק כאשר מעלים דבר אבל לא מעלים אותו כאשר החוק התקדם.",בטחון,בלי,0.9575325,,,,,,,
"זה לא קשור לחוק, אבל זה קשור למצבנו הכללי. למי שצם, שיהיה לו צום מועיל. יש כאלה שמברכים בצום קל, אבל לא צמים כדי שיהיה קל כי אם כדי שיהיה קל, למה לצום? צמים כדי שזה יועיל. למי שלא צם, שירגיש בנוח, הוא יכול לשתות. לי זה לא מפריע ואני מניח שגם לאחרים זה לא יפריע.",בטחון,בלי,0.95751315,,,,,,,
"צהריים טובים לכולם, אנחנו פותחים את הדיון הראשון מתוך סדרת הדיונים שעוסקת בהצעת חוק יסוד: הממשלה (תיקון מס' 10). כפי שעשינו גם שבוע שעבר, נקיים רצף דיונים בהצעת החוק, ונקדיש לה זמן רציני של דיון מתוך ההכרה שאנו מדברים פה על תיקונו של חוק יסוד, והדבר מחייב התייחסות רצינית לנושא.",בטחון,בלי,0.9556383,,,,,,,
"תודה רבה, גברתי. תודה ששוב את מנהלת דיון שהוא כל כך משמעותי לכולנו. הצעת החוק הזאת בעיני היא מהלך היסטורי, לא פחות מזה, שבמקום שלא היה ייצוג אף פעם לנפגעי העבירה עצמם, אנחנו מבקשים להביא את הקול שלהם. לא רק אנחנו מבקשים. המדינה הגיעה למסקנה שהיא צריכה לסייע להם בהבאת הקול הזה בכל ההליך הקשה.",בטחון,בלי,0.9556349,,,,,,,
"הקמת ועדה משותפת לפי חוק האזנות סתר: מוצע לקבוע הרכב של ועדה משותפת לוועדת החוקה, חוקה ומשפט ולוועדת החוץ והביטחון לפי סעיף 4(ה) לחוק האזנות סתר, התשל״ט-1979. סעיף 4(ה) לחוק, אשר עוסק בהאזנות סתר למטרות ביטחון המדינה קובע כך: ""שר, ראש הממשלה או שר הביטחון ידווח מדי שנה לוועדה המשותפת של ועדת החוקה, חוק ומשפט ושל ועדת החוץ והביטחון של הכנסת (להלן – הוועדה המשותפת) על מספר ההיתרים שניתנו לפי פרק זה. הוועדה המשותפת תדון בנושא בנושא בדלתיים סגורות.",בטחון,בלי,0.9528962,,,,,,,
"אני רוצה להתחיל בנושא הפיקדון. שלום ליוסי מרשות האוכלוסין שמטפל בין השאר בנושא הפיקדונות. אני חייב לומר לך שאני קיבלתי את המסמך הזה וכשאתה קצת מסתכל בו לעומק, אתה מבין איזה ישראבלופ. אתה מבין כמה אנחנו לא עושים שום דבר כמה כולם עובדים אחד על השני בעיניים. אין לי משהו אחר לומר.",בטחון,בלי,0.9511767,,,,,,,
"אנחנו קיימנו דיון בנושא דו""ח ברלוביץ, על השירות הרפואי שניתן בשב""ס לאסירים וערכנו סיור בשב""ס. אני לא יודע מי מהחברים פה היה בסיור הזה, אף אחד, אבל אנחנו היינו שם. בישיבה הנוכחית המטרה היא להתמקד בשירותי הדת שניתנים לאסירים ולעצורים במתקני השב""ס. כל הפניות הפרטניות שמגיעות מאסירים מועברות ללשכתו של השר לביטחון הפנים, שמעביר אותם להתייחסות השב""ס וזאת בהוראת כל השרים - - - בעבר ובהווה. ",בטחון,בטחון פנים,0.94950217,,,,,,,
"אני מזכיר לכולם, האחד מדבר, השאר שומעים. דברי חכמים בנחת נשמעים. מאחר ואנחנו עוסקים בנימוקי ההסתייגויות, תהיה תחימה של 4 דקות. לא חייבים לנצל את כל ה-4 דקות. ",בטחון,בלי,0.9486321,,,,,,,
"לכן, אדוני היושב-ראש, אני מחזירה אותנו לדיון על הרכב הוועדה. בסופו של דבר, נשמע לי לא סביר לקבל החלטה שהיא כל כך קרדינלית לעתידו של הילד, מבלי שיושב שם מישהו שאשכרה מכיר אותו. ההתרשמות ממסמכים היא התרשמות חשובה. ",בטחון,רווחה,0.94860715,,,,,,,
"אני פותח את הישיבה, המשך מעקב על הפסקת תקצוב וסגירת תוכניות ההכשרה בבית ספר למקצועות קליטה במרכז 'מאיה' למעבר בין תרבותי במכללת סמינר הקיבוצים. זה דיון רביעי ואני מקווה שגם אחרון. ",בטחון,חינוך,0.9483913,,,,,,,
"קיימנו את הדיון אז והופתענו לגלות הרבה דברים שהיו חסרים בצורת האכיפה. חלק מהדברים שאתמול בלילה ככה כשהתחלתי לחזור על המידע ולאסוף אותו נזכרתי בגילוי שהיה לנו ש-320 תיקים אז הלכו לאיבוד בדרכם מבין רשות הדרכונים וההגירה למשטרה. ואף אחד, אני לא יודעת אם עד היום מצאו את התיקים האלה. לא ידענו בזמנו אם התיקים הלכו לאיבוד בגלל הבעיות שהיו ועדיין קיימות ברשות הדואר או שזה לא במקרה שהלכו לאיבוד. ",בטחון,בטחון פנים,0.9470003,,,,,,,
"כידוע לכולם, חוק בריאות ממלכתי חוקק בשנת 1994 ואני רק לשם התחלה יקריא סעיף אחד לחוק ביטוח בריאות ממלכתי, שבעצם הסעיף הזה הוא נושא הדיון שלנו ומכאן אנחנו נתרחב. ",בטחון,בריאות,0.9454974,,,,,,,
"אני חייב להגיד שאנחנו מקיימים דיון שאני מקווה שיהיה ענייני, המטרה זה לבדוק דברים, ללמוד, לתקן, וללכת הלאה. אנחנו לא התכנסנו כדי לשפוט מישהו, כדי לשפוט מצב, רק לציין אותו ולחפש דרכים ללכת הלאה לטובת כל הציבור, וזה באמת תרתי משמע, היום כל עם ישראל זקוק לאמון של מערכת המזון שלו. הליקויים שהתגלו בחודש האחרון, היה צפוי שיהיו תמיד ויהיו תמיד, אני לא משלה את עצמי, אבל אנחנו אמורים לדעת להתמודד עם זה, למנוע את זה, וכשקורה, חס וחלילה, שנדע לטפל בדרך הנכונה ללא עיכובים וללא פגיעה בציבור. אומרים שהקיץ זה בדרך כלל התקופה הכי קשה לזה. ",בטחון,בלי,0.9442928,,,,,,,
"שלום לכולכם. אנחנו פותחים את הישיבה. נדון היום בסעיפים 1 ו-2 בחוק רכבת תחתית (מטרו), ובהמשך נגלוש לפרק ד': תיאום תשתיות, וכל זאת בתקווה שנתקדם היום.",בטחון,תחבורה,0.94338113,,,,,,,
"היום אנחנו מדברים על פתרון הדיור לקשישים וצעירים עולים, השוהים במרכזי קליטה. זה במסגרת ציון יום הדיור הציבורי בכנסת. אני מבקש מישהו שיציג לנו את הנושא. שאול מוצפי, בבקשה, משרד השיכון. ",בטחון,עולים,0.94259626,,,,,,,
