,NonStopwordsQuoteText
22,ממלא נציב קבילות החיילים בשנתיים האחרונות ברגיל מבצע תפקידי הקבוע כמבקר מערכת הביטחון מודה ההזדמנות שניתנה ממלא בהזדמנות לאחל לרחלי הצלחה מהיכרותי האישית רחלי היכולות האישיות היושר וההגינות שהדבר יסוכם ונוכל לאחל
23,שהממצאים מראים שליווי כלואים יחידת נחשון נעשה מסורבלת תוך הטרטור במשך ימים ארוכים מתקנים עניין קילומטרים ספורים הסיבובים גורמים ארוכות בכלי הרכב ובמתקני המעבר השונים תאי ההמתנה בתנאים בלתי אנושיים צפופים עצירים שנדרשים לבדיקה פסיכיאטרית נדרשים להמתין אזוקים ברכבי הליווי בזמן הבדיקות עצירים תאי המתנה שירותי המתנה בבתי חולים פסיכיאטריים
24,צהרים בשבוע 26 באוקטובר בחשון התשפא העבודה הרווחה והבריאות צו בריאות העם נגיף הקורונה בידוד והוראות שונות הוראת מציג
25,המצב החוקי שמי שילדה 26 שבועות ולד חי ובין מת זכאית הזכויות פי מבקשת להרחיב ההגדרה ולקבוע שאישה זכאית ההטבות הללו ילדה ולד שאיננו חי החל מהשבוע ה-22 להריונה ה-26 להריונה
26,בפעולה פרטי מסדיר הפרטיים הרכב; מסדיר המקצוע נותני השירותים העיסוק המקצועי-מסחרי בשירותים השונים סיוע-
27,פותחים לביטחון פנים 12 באוקטובר בחשוון התשפב פרק כבאות התכנית הכלכלית חקיקה ליישום המדיניות הכלכלית התקציב ו-2022 התשפא-2021 הכנה שנייה ושלישית
28,הסמים והאלכוהול מעקב ייצוא הקנאביס הרפואי אחזור ההקדמה אומרת ואגיד שהוועדה עוקבת המתווה בתקווה ובדאגה מכוון ששמענו בדיונים הקודמים גורמים כלכליים חקלאיים ממתינים בקוצר רוח לפתיחה השוק הישראלי לאחד הפוטנציאלים הכלכליים הגדולים בשנים האחרונות שבו למדינת יתרון יחסי משמעותי נממש באיזשהו חלון מסוים כדרכם יתרונות יאבדו בבום כלכלי רציני
29,כאמור ננסה להתמקד בטכנולוגיות שמשמשות ללמידה מרחוק נבין כלים קיימים באלו טכנולוגיות שימוש מערכת החינוך כיצד מתבצע הליך איתור הטכנולוגיות ושילובם מהן נקודות החולשה שקיימות ונדרשות בחיזוק המיומנות הקיימת בקרב עובדי הוראה לשימוש בטכנולוגיות השונות במוגנות ילידנו בזמן הלמידה מרחוק היבטי אבטחת מידע הגנת פרטיות חדשנות בתחום
30,מחליף המתכונת רישיון מיוחד לביצוע פעולות ומתן שירותים ההיתר הכללי נקבע מכוח 4א1 לחוק התקשורת לראשונה נקבע ב-2016 נקבע מודולרית היתר כללי ותוספות שמסדירות אספקת שירותים שונים השירותים שמוסדרים באמצעות ההיתר הכללי שירותי גישה לאינטרנט כוונה בהמשך לקבוע תוספות נוספות שיסדירו הספקה שירותים
31,היושב-ראש אפתח במספר מילים הנציגים שכואב והן שאמונים הפתרונות
32,
33,נעשה כחלק מסדרת דיונים במסגרתה פוגשים מנכלי לשאול לקדם שקיפות במשרד שקיפות במובן הרחב המילה משקיפות תקציבית שקיפות במכרזים שקיפות בהתקשרויות לשקיפות במובן הנגשת המידע והעיסוקים המשרד הנגשת האזרחים לשירותים ולזכויות שהיכולת האזרחים אזרחים מהשכבות המוחלשות בחברה ולקבל הזכויות שמגיעות נמוכה ומשרדי מאמצים גדולים ולהנגיש מהדברים נבחן
34,נעשה הפוך נתחיל הנציגים מוסדות החינוך שנמצאים ואחר ניגש למשרדים ששותפים ונפתח למצוינות חברתית לתלמידי יב מציגה הילה סגל ממשרד החינוך שפי להתחיל מוסדות החינוך מוסדות החינוך בשטח ואחר נוכל לנהל מקצועי יחד הנציגים החינוך
35,נחל אוריאל בוסו שהציג המהיר ונעבור ליושב-ראש התאחדות הסטודנטים מכן אבי בוחבוט ושקד בנפשי בוסו
36,מוכרחה מתנהגים כאילו שקופים במלוא מובן המילה עוסקים בהסרת חסמים בטיפול ובייעול הרגולציה מוכרחים להפסיק ההתייחסות לפועלים ולאנשים שבונים עבורנו הבתים בתקווה בונים עבור עצמם הבתים הימים יוכלו מוכרחה כשקראתי החומרים לקראת היקרה והיועצת המשפטית שמלווה אותנו עורכת-דין מרב תורגמן חשבתי שהייתי בדיונים מהירים בשאילתות ובהצעות לסדר-היום נדון בשאלה נעשה מנת להבטיח שלומם שבונים עבורנו הבתים
37,עודד פורר יושב מירב ארי חברה יוסף גבארין אמיר אוחנה מאיר כהן
38,הכלכלה 18 באוקטובר בתשרי התשפא הטיס הפעלת כלי טיס וכללי טיסה התשף-2020 בדבר טרנספונדר במזם
39,כדלקמן הקראת התייחסויות והצבעה ההחלטה שתתקבל תקבע כהחלטת נעבור הסעיפים המטרה לסיים הסעיפים ולהביא למליאה כתוספת לסדר נושאים שיישארו נספיק לדון בהם מסיבה יישארו ונתכנס מחר להשלים בהם שנספיק להשלים בישיבה המתארכת לאורך המליאה
40,התרשמות שבמשך עיסוק והייתה התקדמות בכמה חוקים באיסור פרסום ובכמה אפיקים שפשוט באיזה שלב נכנסו לתרדמת ונכנסו לאיזו דממה ופשוט משם התקדמו ופשוט נעזבו באיזה שנשאר מפגר יחסית לצורך יחסית שקורה
41,מחדש דנים הנחות בתעריפי המים לאוכלוסיות נזקקות שהדיון קצר קבענו שתי קדנציות ההוזלות לציבור נזקק בתעריפי המים בממשלה הקודמת מיקי לשבח הוספתם נדמה ניצולי השואה זכאים להנחות במים נכי צהל הייתם צריכים 60 הנזקקים הקבוצות שעליהן חל תיקנו בתעריפי החשמל שאותם נזקקים יקבלו 15% נדמה מהגבייה שגובים במים שילך להנחות בחברת החשמל ש-15% מהגבייה לנזקקים 60 אישור התקציב צריכים לכאן לוועדה מוסר דיווח שקורה
42,אומרים ההבדל ההגרלה שנמצאים בפקקים קוקה קולה ההשוואה רחוקה קוקה קולה נמכרת למבוגרים וקטינים כאחד באים ודוחפים במעון בגני בבתי הספר
43,היושבת חייבת להודות שזו הפעם הראשונה הפעם העשירית דנה בזכויות הלהטבים בזכויות שהקהילה הגאה למעשה המופלית שוויון בפני בתיאוריה הלהטבית הגאה הרי שוויון דה יורה מדברת דה פקטו הפונדקאות באימוץ באפשרות להינשא והינה מגלים הפעם שדרך דה פקטו דה יורה צריכים להיקבר אמרת דה פקטו פתאום מגלים בקבורה קדישא כבשלה
44,הכלכלה מהיר הגדירו בנשיאות תרגילים חשבונאיים כיל לשם התחמקות מתשלום תמלוגים למדינה עופר כסיף וחברת מרב מיכאלי כדרכנו בקודש מילות פתיחה קצרות אשמש דוגמה לחברי ולאחר מכן אתן הדיבור למציעים ונפתח
45,מסעדות מטבען עסק בסיכון ודאי מסעדות שרק פתחו ועדיין מתמודדות ההשקעה הראשונית הגדולה האוצר מבין המבנה העסקי מסעדה מבינים בהתחלה השקעה הדוחות העסקיים נראים נראים מנסים למדוד באותה צורה שמקבילה לעסקים קטנים וזו טעות הסיבה שקרן ההלוואות הון סיכון אפקטיבית מסעדנים שפונים מקבלים הלוואה נחשבים עסק בסיכון שכבר אמרתי האוצר חייב להעלות גובה הערבות בקרן להלוואות לעסקים בסיכון אפקטיבי המיצוי באזור ה-20% שמראה שאי-אפשר לממש ההלוואות מיטבית
46,צהריים שמחה פינוי ובינוי פיצויים 4 פינוי בשל סירוב בלתי סביר התשעו-2016
47,הבירוקרטיה כידוע השליט החזק במדינה ואף לפקידים עצמם עוסקת הנושאים שבין האזרח לשלטון ולרשויות השיווק ולצרכנות מתחיל מנושא בריאות שיכון תחבורה ביטוח לאומי דרגות סבסוד למעונות שנוגע לאזרח הקטן האזרח הגדול בשבילנו ונושא התחבורה הציבורית הנושאים אמנם פעילים במכלול הנושאים שנוגע לאזרח לפונה שעושה שחושב בקרב האזרחים והרבה חושבים שחבל לפנות חבל לכתוב חבל להתאמץ שומע אותנו הכול אטום טעות יכולים להעיד גב שלומית אבינח להעיד עובדי שהאזרח הקטן ששולח מכתב לעתים מחולל מהפכות בשירות הציבורי
48,ושמחה העבודה והרווחה ה- 17 בינואר טו בשבט חג חגה שחוגגת 73 0950 התכנסנו הבוקר להקים משנה חדשה להקים משנה נגישות עירונית בראשותה פינטו שירלי פינטו
49,גבולות המועצה מכיר עדי עדי הפינה הצפון מערבית ליד צומת סומך עדי יישוב קהילתי מושב היוגב תהיו ליד צומת מגידו מושב שמבצע הרחבה הושעיה הפינה הצפון מערבית קרוב לצומת רימון יישוב קהילתי וגדל וגזית עין דור הפינה הדרום מזרחית כשאתה עומד בעדי הים וכשאתה עומד בגזית עבר הירדן מועצה ענקית וגדולה 350000 דונם מתוכם 250000 דונם חקלאיים 42000 תושבים
50,לסכם בקצרה הקודם שדיברנו הקודם אישרנו עקרוני החשיבה התיקון שתוקם ועדה מייעצת דיברנו תוספת נציג תיכף נתייחס ולדעתי הוסף בנוסח לפניכם שהוועדה המייעצת תסתכל פנים קדימה תקבל התקנות החדשות הנציב השר תעשה בחינה התקנות הקיימות ותוציא מסודר שבו תמליץ
51,ברירה בנסיבות הקיימות לאשר בקשת נקיים המציאות שבה יאושרו התקנות לייצר מציאות שבה בפירוש רבים ייפגעו לכך מתכוונים הבקשה שמשרד המשפטים להאריך תוקף ההכרזה תידון הבנה זמני ובתקווה שלאחר שתוקם משנה איזו תיקח עצמה להמשיך לעסוק להפוך למדינה מתוקנת שבה החקיקה מובילה לשעת חירום הצדקה להמשיך ולחיות בהגדרה משפטית שישראל במצב חירום
52,עובר לנושא האחרון שעל שינויים בתקציב המשכי לשנת מסביר ההעברות בקשה לוועדה 33-016 פנייה לוועדה 8005 החקלאות מסביר
53,
54,מהשטח התייחסויות הבריאות וגורמי הבריאות תקווה לקדם ולקדם מענים ראויים בתקופת המשבר הקשה אתמקד ביישום הרפורמה בסוגיית התורים הארוכים ובהצעות מדיניות שכנראה מיושמות בשטח מתווים שהוצעו הבריאות המלצות מבקר המלצות ברורות ותמונת שאפשר בדוח מבקר במאי בהחלט שנוכל בשורות טובות
55,הקושי העיקרי שבגללו ממשיכים להכריז שברור באותה סיטואציה שהיינו ב-48 ירושלים במצור ואין פלישת צבאות לשטחנו הסיבה העיקרית חוקים שהזכרתי שעדיין בתוקף ונקבע בהם בתוקף חירום מהחוקים פירוט בסקירה 13 החוקים התקפים
56,הקראנו 49א והתחלנו התראה לרשות ניקוז פגמים סמכות ביצוע מזכיר שדיברנו שמניע התהליך מסירת התראה ויושב מבין מרכז השלטון המקומי הערתם המנגנון למעשה שבו הרשות תיקנה פגמים כאמור בסעיף 49 הגישה התייחסות השגות לממונה בעקבות ההודעה הפגמים איזושהי עילה נוספת שמאפשרת לממונה למסור התראה שבעצם לקשור מסירת ההודעה הגשת התייחסות להודעה וכולי לבין מסירת ההתראה בכתב לרשות הניקוז אקרא איזשהו נוסח שמשרד החקלאות העביר אלי בערב
57,צהריים צו הארכת תקופות הוראה נגיף הקורונה אישורים רגולטוריים התשף-2020
58,ה-27 ביוני 0906 הבוקר בקשת דין וחשבון מבקר פעולותיו 6א לחוק מבקר יחסי וגופים מבוקרים קיימת לישראל והנושא החלטה להציע לכנסת להעמיד קיימת לישראל לביקורת מבקר 96 לחוק מבקר
59,והנה פתאום התברר שבניגוד שסוכם הכול שיירשם בפרוטוקול עשר משרות שהייתה הסכמה חבריי ביני ייצאו לוועדת איתור חיצונית הנה פתאום מנכל ודורש להוציא תפקידים לוועדת איתור חיצונית בהסכמת הוועד
60,להבהיר חד-משמעית ששותפים מאה אחוז מחברי וחברות שהמשטרה בוודאי במדינה דמוקרטית תחקור נבחרי הציבור במידה צורך תעמיד לדין גאווה שהמערכת המשפטית וכך חוקרת מעמידה לדין ומרשיעה נשיא לשעבר לשעבר שרים וכדומה לגאוותנו בהחלט מוכיח מדינה דמוקרטית
61,החוקה ארבעה נושאים באותו עניין הסדר הכרונולוגי 1 סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות והוראות נוספות 7 התקנות חל עליהן אישור מיום טו בחשוון התשפא הדברים שעדיין אישרנו; 2 סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות והוראות נוספות 8; 3 סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות והוראות נוספותתיקון 9 תיקון; 4 סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות והוראות נוספותתיקון 9
62,שעשיתי הסיור ובאמת זכות להכיר מדהימים נשמה העבודה נשמה אמרו לנסוע לאיזה דירה בגילֹה נסעתי לדירה בגילה וראיתי בדירה מדהים שישה מטופלים בנכות הנכות שיכולה מתנדבים שסועדים שוטף שתי מתנדבות מגרמניה שבאו ובאמת נמצאות 24 לסעוד מעשה חסד דמעות בעיניים לתאר במילים להבין
63,במהלך הקיץ בחודשיים-שלושה האחרונים ארבעה נפגעו במסיבות מהנתונים באוקטובר גברים 55 ובן 27 בפסטיבל בגליל בספטמבר התמוטטו צעירים בשנות העשרים לחייהם במהלך מסיבת טבע אושפזו במצב במחלקה לטפול נמרץ באוגוסט שרבים מאתנו זוכרים החיילת טוהר דוד שהתמוטטה במסיבה פונתה בזמן לקבלת טיפול רפואי ולאחר מכן לצערנו הרב נפטרה הושארה ברכב
64,יונה מרשות המסים הבעיה שעלתה הקודם ניכוי המס במקור ניכוי המס במקור הפלטפורמות מתבצע מההכנסה ברוטו מההכנסה נטו ניכוי ההוצאות
65,הרי האבסורד היינו צריכים ליזום למלגת החינוך שלומד חינוך והוראה במכללות חינוך ולמי שלומד במגמת חינוך בקריה האקדמית ומכללות חינוך הרי חוסר 3000 מורים ואנשי הוראה בשנה במשרד החינוך והדבר שמשרד החינוך לעודד לימודי הוראה גננות ומורים ומורות הרבדים בתי הספר והחטיבות והתיכונים ופתאום סטודנטים מצאו עצמם בפני שוקת שבורה לזכור שהמלגה המדוברת מלגת עודף ותוספת ועידוד מלגת בסיס סטודנטים שנכנסו מלכתחילה ללימודי חינוך בסיס המלגה ולולא חלקם יתחילו ללמוד וחלקם בפני סכנת נשירה
66,ערב לילה ברשותכם פותחת והנושא לתיקון ולקיום תוקפן שעת חירום נגיף הקורונה הגבלת פעילות התשף-2020
67,חגה הכינון גאים בהם בחוקים שיצאו תחת ידינו בנושאים שטיפלנו בהם; גאים בהם מעשים ואמירות גאים להתבונן הטוב ולהתבונן העתיד ולהתבונן נדרש מאתנו כינון חומרים שהכינו תנועת פנימה יוסף שפרינצק יושב-ראש נטענו האילן הנאה אילן עצמאות שומה האסיפה המכוננת לטפח העץ ולדאוג לכך שיגדל ויישא פרי ובצלו ישכון העם לבטח ישכנו לבטח תושבי מדינת
68,האתר מרושת במצלמות 24/7 365 מחוברות לתחנת המשטרה מחוברות לחברי ההנהלה נתון קורה האתר בלג בעומר מערך מצלמות רחב במעגלים הרחוקים טבעון כרמיאל ומתקרבים למעגלים הפנימיים והכול מחובר לחפקים המשטרה שליטה ורק המשטרה מעבירים הפיקוד רביעי בבוקר והם שולטים
69,אומנם קרה במהלך תוך והכנסת בפגרה הספקנו לקיים בשל החשיבות ולטובת בריאות הציבור הזמנו הנוכחים ייכנסו לאיטם חזרנו מהפגרה ולוקח להתאושש
70,השינוי העיקרי הוספה החזרת חברות הגבייה לתקופת מעבר שבעצם תקופת מבחן שהחוק ייכנס לתוקף בהשהיה כשנה ולאחר מכן תהא תקופת מבחן שלוש יוכלו לבוא המסלולים האפשריים בחירתן הרשויות המקומיות אזכיר שמדובר במסלולים חברות גבייה פרטיות גבייה משותפת השלטון המקומי תאגיד עירוני גבייה עצמית שימוש במרכז לגביית קנסות אגרות והוצאות במשרד המשפטים
71,מדינת מדינה שנמצאת תחת איום מהקשים והכבדים שיכולים איום מגוון ומורכב המרכיבים הבסיסיים היכולת המשק מדינת משק החירום המשק הלאומי להתמודד עולם המפעלים המרכיבים המרכזיים שבהם תשתיות אסטרטגיות מלאים לאומיים וכדומה המפעלים החיוניים המרכיבים הקריטיים הרי בלעדיהם המשק יוכל לתפקד והאוכלוסייה תוכל להתקיים
72,ברשותכם ישיבה המדע והטכנולוגיה שלישי יב בכסלו תשעט ה-20112018
73,לקידום מעמד האישה ולשוויון מגדרי עזרה לנפגעות ולנפגעי תקיפה מינית עדכון בדבר הקמת חדרים אקוטיים מעקב
74,צריכים להיזהר שנכווה ברותחין נזהר בצוננים שראה אסון ללמד אותנו לצלצל בפעמון ולתת אות אזהרה שהממשקים ממשקים מסוכנים
75,שרשרת ההדבקה ברורה הסוף קיימת הערכה שאחד העובדים הלא מחוסנים שהתחיל שרשרת ההדבקה בחדר כושר הסברות התווך שבעה ימים לבדיקת PCR לצמצם למספר ימים שלושה ימים נטו מבדיקת ה-PCR סך הכול ארבעה ימים שנמסר במסמך שלושה ימים סך הכול כלומר מחוסנים שנדרשים לבדיקת PCR
76,חברות וחברים מיד אעביר הדיבור לחבר אבו עראר ברשותכם מילים בפתח
77,מאמינה ובטוחה ששנת להפוך שנת בשורה שבה מצטרפת לשורת מדינות מתקדמות שכבר הבהירו צריכת זנות נורמה פסולה ושההשלכות הרסניות
78,הדברים חשובים מההגנה מפני ההידבקות בקורונה חייבים למצוא הדרך מצד למנוע ההדבקה ומצד לאפשר בדוח השתמשו בביטוי שתפס מקפל בתוכו אומרים העניין התגוננות יתר בהתגוננות יתר ימותו מקורונה הורגים מבדידות ומעוד טיפולים רפואיים מקבלים פחד נכנסים אליו וכו
79,הגישו הסדר חהכ גרמן יעל; חהכ דב חנין; חהכ אשר יעקב; חהכ מוסי רז; חהכ מרגי יעקב וחהכ כהן פארן יעל
80,שהעובדה שמדובר במקצוע שמשיק במידה למקצוע האורתופדיה ושיש איזו חפיפה מבחינת מעורבות רפואית מטבע הדברים להסכמות מיני פרמטרים שקשורים מותר אסור לפודיאטר בהשוואה לרופא אורתופד הבעיות שלדעתי הגורם שבאמת פרוצדורות אצלנו מטבען נמשכות החברים מבחינתי
81,החינוך התרבות והספורט ה-29 במאי טו בסיון התשעח תשלומי לשנת הלימודים התשעט ברביזיה
82,06-97 שנפתחו עשרה קברים מדגמיים ובהם ממצא שמתאים כתוב
83,החוויה ההסברה בוודאי רקע מבצע שומר החומות פוטנציאל ממומש מהמקום פוטנציאל ממומש מתקיים לבדוק שומר החומות ואיך תפקדנו בפריזמה רחבה בניסיון להבין ביחד שנמצא ומי שנמצא במקומות ושותף לעשייה בשגרה ובחירום מצליחים למקסם היכולת עבור מדינת
84,בבוקר שבת 27 באפריל בפיגוע ירי שהתרחש חבד Share Icon בעיר פאווי שבמחוז סן דייגו קליפורניה ארצות-הברית נרצחה לורה גילברט קיי 60 במותה נפצע הרב גולדשטיין וכן אוסקר סטיוארט שוטר במשמר הגבול ארצות הברית וילדה נוספת
85,עבודת המטה שערך תת-אלוף פרופ שפירא הצבא החליט שיטה משולבת שעיקרה מיקור מכבדים ההחלטה יחד מבקשים קולות קרפרים בעבר ובהווה הכול במטרה להבטיח לחיילינו השירות הרפואי ראויים לזכור הרעיונות ודרכי הפעולה צריכים להתכנס למסגרת תקציבית הגיונית וסבירה סיכונים הסתברויות והערכות מבקשים לשקלל עולמות התוכן הללו לתוך הדברים
86,פותחת לביטחון פנים ה-29 בדצמבר כה בטבת תשפב האיזוק האלקטרוני ככלי למלחמה באלימות במשפחה דיווח התקדמות החקיקה הממשלתית
87,מנציגת המממ מריה רבינוביץ שעסקה בהכנת מסמך עבורנו נפתח ונפנה לגורמים המקצועיים המעוניינים
88,חששתי שוחחתי המנכל ממדרון חלקלק שבעצם ועדות איתור בסופו הכול ייעשה באמצעות ועדות איתור חד משמעי ארצה רשום שמדובר בתפקידים שיהיו בוועדות איתור נדמה העשרים הדברים יובהרו ידך תאמר הדברים
89,בכאב מדינת יחד הציבור משקיעה משאבים רבים בחינוך ותוצאות אַיִן תוצאות שואל עצמי כיור החינוך הרי היינו מודדים תפוקות אומרים תלמידי מאשימים מאשימים צלע שתיים החברה בישראל ואיפה ארגוני המורים טענה יישמע ביקורת מכליל זורק הכול המורים שעל לבי שנתיים יושב החינוך התרבות והספורט 305 ולצערי הרב לספור היד הפעמים שארגוני המורים השתתפו בדיונים ארגוני המורים יעצבו מערכת החינוך יחד החינוך ויחד נבחרי הציבור ויחד אנשי המקצוע
90,החינוך התרבות והספורט 7 בנובמבר יח בחשוון תשעח אלימות במערכת החינוך צוותי חינוך והן תלמידים
91,מהנתונים שכן חשופים בפנינו יכולים פערים אדירים תקציבי החינוך שבין ארבע מערכות החינוך שקיימת בישראל ארבע מערכות החינוך הגדולות שקיימות מערכת החינוך הממלכתי דתי מקבלת התקצוב הגבוה החינוך הממלכתי רגיל ואי למטה החינוך במגזר הערבי
92,הצבא ולעודד חיילים להתגייס ולשרת שירות משמעותי בצהל צהל כור ההיתוך החברה הישראלית עבור אוכלוסייה לזכור החיילים החרדים מוכרים כחיילים בודדים מתלוננים מתלוננים שהמשפחות בקשר מוכרים מתלונן צהל מכיר בהם כחיילים בודדים
93,סובל ממחלה דיכוי חיסוני כרוני בסיכון חריג להידרדרות מסכנת במצבו הרפואי הכללי בהקשר למחלה הנגרמת נגיף הקורונה וכן מתקיים מאלה
94,פונה אליכם הכוונה פניתי לשר גלעד ארדן ולמשטרה הנוהל פונה הקצין פונה לשר פונה אליכם ומבקש לקיים יסודי במהלך השבועיים הקרובים תאושר תכנית המימון המוצעת בשיתוף הממונים התקציבים במשרד לביטחון פנים ובמשטרה ביחד אגף תקציבים באוצר שיאשר התקציב הנדרש מנת שבעצם במסגרת דיוני התקציב העסק יוסדר
