Type,QuoteWordCount,QuoteLen,StartDate,Speaker,QuoteText,NonStopwordsQuoteText,Tag
Committee,97.0,509.0,2017-02-20 12:30:00,איל בן ראובן (המחנה הציוני):,"אני נותן פה דגש אחד, שמאוד מאוד הקפדנו עליו, שהמניע למהלך של אותות, תעודות, הוא משרד הביטחון, שר הביטחון. זה חשוב. גם נקפיד על כך, שאותות זה אותות, אבל מי שמקבל תעודות – אזרחים, אין טעם לתת להם תעודה שישימו את זה על החולצה הלבנה, ולכן הם יקבלו תעודה. בתעודה יהיו חתומים גם שר הביטחון וגם השר הרלוונטי המוביל. זה בעצם דגש מאוד מאוד חשוב. בתיקון, בעקבות הדיון הקודם, נתנו הרבה מקום גם לשרים, לראשי הארגונים, שהם בסופו של דבר אלו שמזמנים, אלו שעובדים. ולכן חשבנו שהדבר הזה הוא נכון. ואני מציע, מירי, שנעבור - - -",נותן דגש שמאוד הקפדנו שהמניע למהלך אותות תעודות הביטחון הביטחון נקפיד שאותות אותות שמקבל תעודות אזרחים טעם תעודה שישימו החולצה הלבנה יקבלו תעודה בתעודה חתומים הביטחון השר הרלוונטי המוביל דגש בתיקון בעקבות הקודם נתנו לשרים לראשי הארגונים בסופו שמזמנים שעובדים חשבנו שהדבר מציע מירי שנעבור,בלי
Committee,64.0,349.0,2016-06-13 10:30:00,נעה בן שבת:,"העיצומים הכספיים משתנים לפי האם זה יחיד או תאגיד, והם משתנים לפי ההוראה שהופרה. מייד אדבר על הסכומים. הסכומים קבועים בחוק. עבירה היא 5,010 שקלים על ההוראות שמנויות בחלק א' לתוספת השנייה; ואם זה יחיד אז זה רק 2,500 שקלים חדשים, יחיד שלא במסגרת עסק שלו או פעילות ציבורית שלו; אם אלו העבירות היותר חמורות זה כבר 20,040 שקלים; ולגבי יחיד - 10,020 שקלים.",העיצומים הכספיים משתנים יחיד תאגיד והם משתנים ההוראה שהופרה מייד אדבר הסכומים הסכומים קבועים עבירה 5010 שקלים ההוראות שמנויות בחלק לתוספת השנייה; יחיד 2500 שקלים חדשים יחיד במסגרת עסק פעילות ציבורית שלו; העבירות היותר חמורות 20040 שקלים; ולגבי יחיד 10020 שקלים,בלי
Committee,72.0,391.0,2016-12-13 12:00:00,רעות כהן:,"בהקשר הזה אני רוצה לציין לטובה את רשות המים שפורסם אתמול שהורידה את ריבית הפיגורים שלה ב-50 אחוז, מתוך הבנה ומחשבה שהריבית פיגורים היא גם גבוהה והיא גם, בסופו של דבר, לא מסייעת לגבות את החוב. אני רוצה לציין לטובה גם את מד""א, שעמדנו איתם בקשר בשנה-שנתיים האחרונות ליצירת איזה שהוא נוהל שגם יכול להפחית את ריבית הפיגורים ואת החוב שיש לאנשים בעוני למד""א כדי באמת לסייע לאנשים האלה ולהקל עליהם. ",בהקשר לציין לטובה המים שפורסם שהורידה ריבית הפיגורים ב-50 אחוז הבנה ומחשבה שהריבית פיגורים גבוהה והיא בסופו מסייעת לגבות החוב לציין לטובה מדא שעמדנו איתם בקשר בשנה-שנתיים האחרונות ליצירת נוהל להפחית ריבית הפיגורים החוב לאנשים בעוני למדא לסייע לאנשים ולהקל עליהם,בלי
Committee,87.0,448.0,2018-12-12 09:30:00,"היו""ר אלי אלאלוף:","האמת, אני רק 50 ומשהו שנים בארץ, יותר זמן מכמה ילידי הארץ פה, והנושא הזה אף פעם לא תפס אותי למרות שזה חלק מחיי, למרות שאני חייב להגיד לכם שמעמד היתום מאב שלי, אנחנו קיבלנו הרבה חיזוק אישי, יכולות אישיות שאפשרו לנו להתמודד עם החיים, גם איזו עצמאות אישית. אימא אמרה, רק תעשו מה שאתם רוצים, אבל כל עוד שהיינו במרוקו, שיהיה לא יותר מקילומטר אחד, שבשבת נוכל להיפגש, וכל השאר, אם תצאו לחוץ לארץ אז תדאגו שאני אדע להגיע אליכם גם אחרי שמצבנו הכלכלי ישתפר. ",50 ומשהו מכמה ילידי הארץ והנושא תפס מחיי חייב שמעמד היתום מאב קיבלנו חיזוק אישי יכולות אישיות שאפשרו להתמודד איזו עצמאות אישית אימא אמרה תעשו שהיינו במרוקו מקילומטר שבשבת נוכל להיפגש השאר תצאו לחוץ לארץ תדאגו אדע אליכם שמצבנו הכלכלי ישתפר,רווחה
Committee,69.0,371.0,2016-07-25 13:00:00,"היו""ר קארין אלהרר:","לא ברור למה צריך עוד משרדים ואפשר לחשוב אולי שזה טוב שיש עוד משרדים שדנים בעניין החשוב הזה, אבל המציאות לימדה אותנו, אדוני, שהדבר הזה פוגע בכוחה של מדינת ישראל לייצר הסברה טובה ואחידה. כי מתברר שאין נהלים שקובעים את חלוקת האחריות בין הגופים, לא נקבעו ממשקי העבודה ביניהם, יש חוסר תיאום. אם לא די בכך, למיטב ידיעתי, טרם מונה ראש מערך ההסברה והתפקיד מיותם כבר חודשים רבים. ",משרדים ואפשר לחשוב משרדים שדנים החשוב המציאות לימדה אותנו שהדבר פוגע בכוחה מדינת לייצר הסברה ואחידה מתברר נהלים שקובעים חלוקת האחריות הגופים נקבעו ממשקי העבודה ביניהם חוסר תיאום בכך למיטב ידיעתי טרם מונה מערך ההסברה והתפקיד מיותם חודשים רבים,בלי
Committee,81.0,399.0,2017-07-03 09:30:00,מאיר כהן (יש עתיד):,"אתמול שיגרתי מכתבים לשני גדולי תורה שאני מכבד ומוקיר מעומק לבי בלי קשר להיותי ממפלגת יש עתיד. אני ספרדי, מזרחי באתי מדימונה. חלקה של משפחתי הם אנשים חרדים, אני חי את הנושא הזה וזה נושא שמאוד מאוד כואב לי. לכן אני שם את זה על השולחן ולא מרפה. אני מקווה שגם הרב שטיימן והחכם שלום כהן שאותו אני מכיר באופן אישי, אני משער שהם באמת ענקי דור ואני מקווה שהם יתייחסו לסוגיה הזו ויגיבו, כדי שנשמע את קולם.   ",שיגרתי מכתבים לשני גדולי תורה מכבד ומוקיר מעומק לבי להיותי ממפלגת עתיד ספרדי מזרחי באתי מדימונה חלקה משפחתי חרדים חי שמאוד כואב השולחן מרפה הרב שטיימן והחכם כהן שאותו מכיר אישי משער ענקי דור יתייחסו לסוגיה ויגיבו שנשמע קולם,בלי
Committee,99.0,518.0,2020-10-13 10:00:00," << יור >> היו""ר אבי דיכטר: << יור >> ","שלום לכולם, בוקר טוב. אנחנו מקיימים את הישיבה הזו שהיא ישיבה ראשונה של הפורום בתוך עצמו, עם עצמו וכמובן עם צוות הוועדה שליווה אותנו לכל אורך הדרך, הוא גם יזם את הדיונים, אז הוא גם הכי בקי בסוגיות השוטפות. אחרי ששמענו ושלחנו לכם תקציר של כל המפגשים שהיו עם באמת המינימום שבמינימום שהיה אפשר לכתוב כדי לחבר בין המפגש לבין תוכנו או מהותו, כמובן הוא לא מייצג את מה שהיה במפגשים, הוא רק נותן בנגיעה, לא יותר מזה, הוא בוודאי לא במקום לקרוא, מי שלא היה ורוצה להתעדכן, זה לא תחליף לדברים שנאמרו ונאמרו לא מעט דברים משמעותיים. ",מקיימים ישיבה וכמובן צוות שליווה אותנו אורך הדרך יזם הדיונים בקי בסוגיות השוטפות ששמענו ושלחנו תקציר המפגשים שהיו המינימום שבמינימום לכתוב לחבר המפגש לבין תוכנו מהותו מייצג במפגשים נותן בנגיעה בוודאי ורוצה להתעדכן תחליף לדברים שנאמרו ונאמרו משמעותיים,בלי
Committee,76.0,404.0,2017-03-30 11:00:00,"היו""ר נורית קורן:","עם פתיחת הפרוטוקולים יש לנו חלק מהמקומות ציון של קבר, ואנחנו צריכים לנסות ולאתר, ובסופו של עניין, אנחנו רוצים לדעת אם יש לנו קבר ומי שקבור מתחת לציון קבר – ולא תמיד יש ציון קבר עם שם, לפעמים יש אלמוני, לפעמים יש קברים משותפים, ואנחנו רוצים לתת למשפחות קבר שעליו הם יוכלו להתאבל וזה בעצם חלק מהעניין של לסגור את הפרשה. כדי לדעת מי קבור שם, צריך לעשות בדיקות די.אנ.איי. לשרידי הגופות שיימצאו אם אנחנו נפתח.",פתיחת הפרוטוקולים מהמקומות ציון קבר צריכים לנסות ולאתר ובסופו עניין קבר ומי שקבור מתחת לציון קבר ציון קבר אלמוני קברים משותפים למשפחות קבר שעליו יוכלו להתאבל מהעניין לסגור הפרשה קבור בדיקות דיאנאיי לשרידי הגופות שיימצאו נפתח,רווחה
Committee,56.0,330.0,2020-08-10 09:30:00,"<< יור >> היו""ר צבי האוזר: << יור >>  ","אדוני שר הביטחון וראש הממשלה החלופי, הטכנולוגיה ואתגרי הביטחון מולם אנו מתמודדים משתנים בקצב שאינו מאפשר לנו להידרש לתקציב ביטחון של פעם בשלוש שנים כתוצאה מחוסר יציבות פוליטית כרונית. זוהי אזעקת אמת. אלה מחירים שחוסנה של ישראל אינו יכול להם. אני אומר זאת כאן בתוקף תפקידי כמתריע לאומי, שזה אחד מהתפקידים המופקדים בידיה של ועדה זו.",הביטחון וראש החלופי הטכנולוגיה ואתגרי הביטחון מולם מתמודדים משתנים בקצב שאינו מאפשר להידרש לתקציב ביטחון בשלוש כתוצאה מחוסר יציבות פוליטית כרונית זוהי אזעקת אמת מחירים שחוסנה בתוקף תפקידי כמתריע לאומי מהתפקידים המופקדים בידיה ועדה,בטחון
Committee,49.0,285.0,2018-01-08 14:00:00,שרה קנדלר:,"המנגנון שנקבע בחוק הוא מנגנון של רישום צולב, מה שנקרא cost listing, שמתיר רישיון למסחר של חברות זרות הנסחרות בבורסות הזרות גם בבורסה שלנו. וזאת, מבלי שהם יידרשו להסכים או להיות מעורבים ובלי שחלות הוראות הגילוי לפי חוק ניירות ערך ופיקוח הרשות. מנגנונים כאלה יש כבר בפרנקפורט וגם בשוויץ.",המנגנון שנקבע מנגנון רישום צולב שנקרא cost listing שמתיר רישיון למסחר חברות זרות הנסחרות בבורסות הזרות בבורסה וזאת מבלי יידרשו להסכים מעורבים ובלי שחלות הוראות הגילוי ניירות ערך ופיקוח הרשות מנגנונים בפרנקפורט בשוויץ,כלכלי
Committee,51.0,294.0,2018-01-22 09:00:00,"היו""ר סתיו שפיר:","ביקרתי בחלק מהמבנים הזמניים שאנשים נאלצים לגור בהם עד היום. ההשתרכות הזאת, כמות הבירוקרטיה, העמידה מול שורה ארוכה של יועצים משפטיים שהממשלה לקחה כדי לעבוד מול המפונים ועדיין מבלי לזרז תהליכים ומבלי לדאוג להם לבית, זה דבר שאני ממש מתביישת בו. אני חושבת שהסיפור הזה היה צריך להיפתר כבר לפני שנים.",ביקרתי בחלק מהמבנים הזמניים שאנשים נאלצים לגור בהם ההשתרכות כמות הבירוקרטיה העמידה שורה ארוכה יועצים משפטיים שהממשלה לקחה לעבוד המפונים ועדיין מבלי לזרז תהליכים ומבלי לדאוג לבית מתביישת שהסיפור להיפתר,רווחה
Committee,69.0,357.0,2018-10-22 09:30:00," << יור >> היו""ר איתן כבל: << יור >> ","כמובן שלא. הנקודה הזו – ברצינות – זה באמת היה מודל. אני אומר את זה לא רק כיוון שהובלתי זאת, אלא באמת הכנסת מחפשת כלים אמתיים. נחלש מעמדה בצורה מאד משמעותית. אם יש דבר שנחלש מעמדה של הכנסת בעיקר מול הרשות המבצעת – הכנסת נהיתה אסקופה נדרסת של הרשות המבצעת. אני אומר את זה כפלקט גדול. לא ימין, שמאל, קואליציה, אופוזיציה אלא בכלל. היכולת שלנו לפקח היא כמעט אפס.",הנקודה ברצינות מודל כיוון שהובלתי מחפשת כלים אמתיים נחלש מעמדה משמעותית שנחלש מעמדה הרשות המבצעת נהיתה אסקופה נדרסת הרשות המבצעת כפלקט ימין שמאל קואליציה אופוזיציה היכולת לפקח אפס,בלי
Committee,54.0,310.0,2022-05-10 09:00:00," << יור >> היו""ר רם בן ברק: << יור >>   ","זאת אומרת, אין שום ספק שההתיישבות במדינת ישראל היא זו שקבעה את הגבולות והיא זו ששמרה על הגבולות, ושומרת עד היום לאורך כל השנים האלה. התפקיד שלנו בכנסת והתפקיד שלנו כמדינה, זה לראות שהיישובים האלה מוגנים מספיק ויש בהם מקורות פרנסה, ואנחנו דואגים לאותם אנשים אמיצים שהתיישבו רחוק מאוד מהמרכז ושומרים על הגבולות. ",אומרת ספק שההתיישבות שקבעה הגבולות והיא ששמרה הגבולות ושומרת לאורך השנים התפקיד והתפקיד כמדינה שהיישובים מוגנים בהם מקורות פרנסה דואגים לאותם אמיצים שהתיישבו רחוק מהמרכז ושומרים הגבולות,בטחון
Committee,34.0,186.0,2020-10-27 13:30:00," << יור >> היו""ר דוד ביטן: << יור >>   ","בפיגוע דקירה שהתרחש במוצאי שבת 28 בדצמבר 2019, ליל שביעי של חג החנוכה, בשכונה פארשי בעיירה מונסי שבמדינת ניו-יורק נפצעו 15 אנשים, ביניהם הרב יוסף נוימן שנפטר כעבור יום. בן 72 היה במותו. ",בפיגוע דקירה שהתרחש במוצאי שבת 28 בדצמבר ליל שביעי חג החנוכה בשכונה פארשי בעיירה מונסי שבמדינת ניו-יורק נפצעו 15 ביניהם הרב יוסף נוימן שנפטר כעבור 72 במותו,בטחון
